[2018-06-30 16:29:46] - Loading tables...
[2018-06-30 16:29:46] - Converting table acax_commentmeta
[2018-06-30 16:29:46] - Converting table acax_comments
[2018-06-30 16:29:46] - Converting table acax_links
[2018-06-30 16:29:46] - Converting table acax_options
[2018-06-30 16:29:46] - Converting table acax_postmeta
[2018-06-30 16:29:46] - Converting table acax_posts
[2018-06-30 16:29:46] - Converting table acax_term_relationships
[2018-06-30 16:29:46] - Converting table acax_term_taxonomy
[2018-06-30 16:29:46] - Converting table acax_termmeta
[2018-06-30 16:29:47] - Converting table acax_terms
[2018-06-30 16:29:47] - Converting table acax_usermeta
[2018-06-30 16:29:47] - Converting table acax_users
